P22897	Q5NID2
Q96Q89	Q5NGQ8
P62820	Q7BU69
P62820	Q29ST3
P62820	Q6X1Y7
P19838	Q5NGE6
P19838	A0A6L8P1I7
P19838	Q5NEC0
P19838	Q8D1M9
P19838	Q81WY7
P19838	Q8ZH58
P19838	Q8ZIM0
P19838	Q8ZJ18
P19838	A0A3N4B3D9
P19838	A0A5P8YGL4
P19838	A0A6L7GZT9
P19838	Q9RI12
P19838	Q8CL24
P19838	A0A5P8YAM6
P19838	A0A6L7H165
P19838	A0A6L8PFB2
P19838	A0A6L7HB40
P19838	Q8ZGA9
P19838	Q8D1P5
P19838	Q8CZJ8
P19838	Q8ZII0
P19838	A0A380PE22
P19838	A0A0H2W225
P19838	Q8D1H3
P19838	Q8D1A4
P19838	A0A380PHU4
P19838	A0A3N4BEU0
P19838	A0A6L8PCV1
P19838	Q8ZF52
P19838	Q81QB5
P19838	Q5NIG1
P19838	A0A6H3AGH4
P19838	A0A3N4B367
P19838	A0A3G5L6A1
P19838	Q8ZCW0
P19838	A0A2S9PLQ4
P19838	Q8ZIL4
P19838	A0A6L7H9A7
P19838	Q0WBG7
P19838	A0A0H2W496
P19838	A0A3N4BGA7
P19838	Q0WGN5
P19838	Q7CGB6
P19838	P31527
P19838	Q8D045
P19838	A0A0F7RC58
P19838	Q81UM1
P19838	A0A2U2H2G1
P16070	A0A0F7RE19
P16070	P18011
P21333	A0A6L8PRJ9
P35222	Q8D1G8
P35222	A0A3G5L2Q1
P35222	A0A3N4BEU0
P35222	Q8ZAB3
P35222	Q81VT8
P35222	Q81JT7
P35222	Q5NEM9
P25963	Q8ZH00
P25963	Q8CZN4
P25963	Q5ZVF7
P21675	Q81X75
Q13616	Q5NI89
Q13616	Q83B01
P56199	Q5NF37
P06396	A0A6L8Q050
P14859	Q7ARK4
P78527	D2TK72
P27694	A0A2U2H2S0
P0CG47	Q8ZNG2
P0CG47	Q6RCR0
P53618	P15917
P02787	Q9K0U9
P02787	Q9K0V0
O43318	B5Z6S0
Q15750	O52162
Q9NYJ8	Q5NFR9
O15111	Q8D017
O15111	A0A6L7HK67
O14920	P71451
Q00653	Q5ZVF7
Q13576	Q5NEC0
Q12824	A0A6L7HAB1
O00571	A0A6L7HC45
O00571	A0A6L8PM02
Q93008	Q81VT8
P51665	A0A6L8Q3J2
Q15025	Q8VSC3
Q15025	Q5NI93
Q15025	A0A5P8YEG1
Q15025	Q8ZC49
Q15025	Q81LD0
P07900	O52302
P35606	Q5NFM0
Q9UER7	Q8D0D4
Q15628	B7UI21
Q13158	Q9X2Y7
Q13158	B7UI21
P50750	A0A6L7HL99
O00401	P0DJ89
Q96QK1	Q5NE83
Q96QK1	Q0WGT7
Q96QK1	A0A2U2H442
P63279	A0A5P8YLB3
Q14671	Q8ZBQ3
Q14671	Q8ZA84
P36507	P0DUD0
P36507	A0A1T3V920
P36507	A0A6L8PRR8
P01857	A0A6L7HB94
P01857	P17778
P01857	A0A2S9PFM0
P01857	P19909
P01857	Q8CK83
P01857	P38507
P01857	Q5NH71
P01857	Q8CWI4
P01857	A0A6L8P3I2
P01857	A0A6H3A6B3
P01857	Q8D1J4
P01857	A0A2U2GVZ6
P01857	A0A6L8PQC3
P01857	A0A6L8PF45
P01857	Q7CH25
O95477	Q83DF6
P62993	A0A6L7HTE1
P62993	A0A5P8YI89
P33176	A0A6L7HF87
P63000	Q6XVY7
P63000	A0A0H3NGI8
P63000	P74873
P63000	Q7ARN6
P62837	A0A0H2USG1
P62837	Q5X159
Q9UQB8	Q7DB77
P18850	A0A2U2GX99
P18850	Q8D1A4
P18850	A0A5P8YAX4
P18850	Q8ZH96
Q8WUM4	Q8ZG09
Q92973	Q81NN0
P52272	Q7CGZ2
P30153	Q9RID8
O75376	Q5NID1
P02751	Q53971
P02647	Q99XU0
Q9UPQ9	A0A5P8YBY1
P61586	A0A380PDV6
P61586	Q8ZAG5
P61586	Q6XW05
P02671	Q99XV0
P60709	A0A2S9PFE9
P60709	Q93KQ6
P60709	A0A2S9PJH3
P60709	Q81KK8
P60842	Q8ZFU4
P60842	Q81KV7
P60842	A0A6L7HR92
P60842	Q5NFV6
P60842	A0A6M0NII6
Q9GZQ8	A0A6L8PN96
P61088	Q8VSD5
P17844	Q5NET1
P17844	Q5NHY6
P17844	A0A380PC31
P17844	Q8D1D2
P17844	Q9ZC68
Q12906	A0A2S9PFE9
P07910	P69959
P35637	A0A6L8NXF0
P00742	P23827
P02768	Q99XU0
P29122	Q7CL81
Q9H3S7	Q8D0S2
Q96RL1	A0A6L7HG24
