Q8NC67	A0A6L7HCP8
Q5D0E6	A0A5P8YDU7
P05091	A0A5P8YCV0
O15127	Q5NEB3
Q99805	A0A5P8YB02
P01889	Q81PH9
O14773	Q0WAP0
Q13093	Q8CZR4
Q03188	Q83D57
P30085	Q83A11
O75569	A0A6L7H2I0
O43760	A0A6L8P747
Q12882	Q8ZA76
Q659D1	A0A6L7HB35
Q6ZMY6	Q81KV7
Q12852	Q6KNA9
Q9BV29	A0A2S9PLF9
A8YXX4	A0A6L7H121
Q9BTE6	A0A6L8PRN6
Q53R16	A0A0H2W6W4
Q9BW66	Q8D0F3
Q9HCC8	Q8CZQ3
Q16543	Q8D194
Q9NY15	A0A2S9PH42
A8K2M0	A0A3N4AWI2
Q96GC9	Q8D0H8
Q9BXK5	Q8CKI9
Q9HB63	Q5NFA1
P31153	A0A2U2GXH7
Q07157	A0A5P8YFN7
P15336	A0A0H2W8I7
Q6IA17	A0A6L7HB50
Q9BSJ8	A0A380PJW4
P17936	Q8ZBZ9
Q96KG9	Q9X6B0
Q9ULJ6	A0A4Y1WC41
Q9BX97	A0A3N4B652
Q99828	Q5NHQ1
Q03014	Q8CZX8
O94972	P58526
P05141	D2TK72
Q9Y2H0	Q81VT8
O95967	P68640
P53804	A0A4Y1WE58
Q00613	Q81JT7
Q548T7	A0A3N4B631
P12830	A4GWM6
Q9NP72	P58497
O75400	A0A380PMQ0
Q641Q2	Q8CZU9
P19838	Q8ZJ18
O95758	A0A2P0HFT1
D0VY79	Q8ZDX8
O95967	A0A0F7RJB0
Q92997	Q5NF75
P49908	Q81K85
P60709	A0A2S9PJH3
Q9NRM6	A0A2U2GZF4
Q9H173	A0A2U2GXH6
Q96KQ4	Q5NFN4
Q04726	A0A6L8PRN6
Q15025	Q81LD0
Q9Y219	A0A6L7GY55
Q9UHX1	Q5NHY6
Q9NZ32	Q79RC1
Q9UBT6	Q7ARD3
O75530	A0A5P8YCV6
Q8WTX9	A0A3P1U2X5
P31153	Q5NHR1
Q6ZTN6	Q81QG0
P78312	A0A0H2W496
Q9Y6X8	A0A5P8YB62
P01871	A0A3N4BNK4
Q53GL7	A0A6B3V616
P51946	A0A6L8NXZ3
Q9Y287	Q8CZW4
