P02671	Q99XV0
Q9UPQ9	Q8D050
Q9H582	Q5NG68
O95967	A0A384L505
P40121	Q93KQ6
Q9NYI0	A0A6L8PG64
Q13438	Q5NHS3
Q92841	A0A380PJJ5
Q8NC67	A0A6L7HCP8
Q6ZV49	A0A0H2W2Z9
P68036	Q99PZ6
P09429	Q5NIJ3
Q9BTT0	Q5NGV3
Q9BR11	A0A6L7H5N1
P61086	Q99PZ6
Q9BZK7	A0A2P0HLN8
Q9BZR9	A0A6L8PZH5
Q49A26	Q5NGE6
Q9UIQ6	Q5NHI8
Q15173	A0A3N4AWL6
P11940	Q81S14
P63104	Q8ZG99
P19838	Q81UM1
Q9P1Z2	Q0WKQ4
Q14241	Q81WK3
P26440	A0A3G5KZU3
P41212	Q8CZW4
P29692	Q81VT3
Q96DX5	Q5NG37
Q8N5M4	A0A3N4BS13
Q96L73	A0A6M0NJJ8
Q93074	Q8D1C5
P19838	Q65AE7
Q5BKZ1	Q81VE1
P04440	A0A3N4B6K1
P28799	A0A6L8PXW6
P13693	Q4VP87
Q13451	Q8ZBP8
Q08117	A0A6L8PSZ0
O60888	A0A2S9PME5
Q7Z5K2	Q81V37
Q8N4L2	Q8Z9R8
P19838	Q8ZIH1
Q92827	Q8CLV1
Q8IWI9	A0A6L7H439
P27930	A0A3P1UEP4
Q96HC4	A0A5P8YGX8
Q6ZMY6	A0A6L8PTK5
P08572	A0A6L8P4D1
P35222	Q81JT7
Q9NYI0	A0A2U2GZ81
Q9UJW9	Q5NEC2
Q9P267	Q8CZT7
Q13123	Q8ZHG3
P04233	Q5NIP6
P56524	Q81JW1
Q9ULJ1	Q7ARK4
P12956	Q7ARD3
Q9P2H3	A0A6L7HCN1
Q9NQB0	P13423
O00584	A0A6L8PYW1
P19105	A0A6L7HA71
Q9HBI5	A0A3G5LAS3
Q6P2E9	A0A6L8PFQ4
Q12802	A0A6L7H702
Q9UJF2	Q8CZF9
P12109	A0A6M0NPU4
O95967	A0A2U2H1V0
Q6ZMY6	Q6KNA9
P34932	Q8ZHK5
P19838	Q8D1H3
P60953	A0A6L8NYE5
P01889	Q5NGF1
P22694	Q8CZW5
Q96G23	Q8D194
P32519	Q8ZCW1
Q66GS9	A0A5P8YC43
P19838	A0A6H3A7A0
Q8N6L0	Q5NID9
P35680	Q5NGC9
P27797	A0A6L7H9A7
Q86TB9	A0A6L8NZ66
Q99816	Q81MN9
Q9H2W1	Q5NGR8
A2RU94	Q8D0R5
Q8NF50	A0A0H2W0W1
Q9UK58	A0A5P8YNI5
P23528	Q81WM3
Q7Z3E2	A0A0F7R9A0
Q13888	Q8D0H2
Q99828	Q5NHQ1
O60502	Q8D194
O00182	Q8ZGW9
Q96PV0	Q0WJG6
O94979	A0A2S9PG06
